"question","expected_answer","generated_answer","BLEU","ROUGE-1","ROUGE-L","Semantic Similarity","NLI_RESULT","Contradiction","Neutral","Entailment","METEOR","BERT_F1","F1_SCORE"
"I am sorry, but this article does not contain enough information to fulfill your request.","This document does not contain the answer to your question.","I don't know.
","0.0","0.0","0.0","0.4444673955440521","entailment","0.08257343620061874","0.3806791305541992","0.536747395992279","0.0","0.014","0.0"
"What is DJI's role in the consumer drone market?","DJI is a dominant player in the consumer drone market, holding a significant market share.","DJI accounted for over 90% of the world's consumer drone market as of June 2024.
DJI is now the largest consumer drone company in the world.
","0.027659333772326378","0.33333333333333337","0.23809523809523808","0.8445475101470947","neutral","0.0007807215442880988","0.9974768757820129","0.001742364140227437","0.4362","0.4391","0.4118"
"What is BlaBlaCar's revenue as of 2023?","€250,000,000.","€250,000,000
","0.0","1.0","1.0","0.9901952743530273","entailment","0.026945309713482857","0.04790351539850235","0.9251511096954346","0.0","0.9534","0.0"
"When was Mambu founded?","2011.","2011
","0.0","1.0","1.0","0.9388188719749451","entailment","0.018562400713562965","0.07775557041168213","0.9036819934844971","0.0","0.7186","0.0"
"What is OutSystems' role in the low-code development market?","OutSystems is a leading player in the low-code development market, providing a powerful platform for building and deploying enterprise applications.","OutSystems is a low-code development platform that provides tools for companies to develop, deploy, and manage omnichannel enterprise applications.
","0.07682607413306147","0.6341463414634146","0.5365853658536585","0.8864213228225708","neutral","0.0009890571236610413","0.9425070881843567","0.05650383234024048","0.4464","0.6543","0.5263"
"What is the Chime app?","The Chime app is a mobile application that allows users to manage their Chime accounts.","Chime is a financial technology company that provides fee-free mobile banking services.
","0.03527481708639238","0.3571428571428571","0.28571428571428575","0.7788873910903931","neutral","0.015293409116566181","0.970180094242096","0.014526383019983768","0.2531","0.3563","0.3846"
"What is Revolut Metal?","Revolut Metal is a higher-tier paid subscription offering exclusive benefits, such as cashback and concierge services.","Initially, stock trading was only available for customers in Revolut's ""Metal"" subscription plan.
","0.012335276124847874","0.1935483870967742","0.1935483870967742","0.7227105498313904","neutral","0.0021281656809151173","0.9970898628234863","0.0007819983875378966","0.0318","0.2564","0.069"
"What is Dapper Labs' role in the NFT market?","Dapper Labs is a significant player in the NFT market, pioneering the development of mainstream NFT experiences.","I don't know.
","0.0","0.0","0.0","0.30357953906059265","contradiction","0.7745609283447266","0.13576562702655792","0.08967335522174835","0.0","-0.0364","0.0"
"What is UBtech Robotics' role in the robotics industry?","UBtech Robotics is a significant player in the robotics industry, developing innovative robots for various applications.","Chinese manufacturer of robots.
","0.0","0.1","0.1","0.5805351734161377","neutral","0.0498189702630043","0.671881377696991","0.2782996892929077","0.0","0.2762","0.0"
"What is DCG's vision for the future of finance?","DCG envisions a future where digital assets and blockchain technology play a significant role in the global financial system.","I don't know.
","0.0","0.0","0.0","0.31278377771377563","contradiction","0.8971690535545349","0.07871326804161072","0.024117669090628624","0.0","-0.0332","0.0"
